"No.","Time","Source","Destination","Protocol","Length","Info"
"2434","11.580187000","192.168.1.1","239.255.255.250","SSDP","387","NOTIFY * HTTP/1.1  "
"2435","11.580195000","192.168.1.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"2436","11.580200000","192.168.1.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"2437","11.581678000","192.168.1.1","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1  "
"2438","11.581708000","192.168.1.1","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1  "
"2439","11.581715000","192.168.1.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"2442","11.602982000","192.168.0.1","239.255.255.250","SSDP","307","NOTIFY * HTTP/1.1  "
"2443","11.603014000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"2444","11.603021000","192.168.0.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"2445","11.604562000","192.168.0.1","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1  "
"2446","11.604593000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"2447","11.604600000","192.168.0.1","239.255.255.250","SSDP","355","NOTIFY * HTTP/1.1  "
"2448","11.606130000","192.168.0.1","239.255.255.250","SSDP","387","NOTIFY * HTTP/1.1  "
"2449","11.606160000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"2450","11.606980000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"2452","11.608701000","192.168.0.1","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1  "
"2453","11.608723000","192.168.0.1","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1  "
"2454","11.608731000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"2455","11.608738000","192.168.0.1","239.255.255.250","SSDP","303","NOTIFY * HTTP/1.1  "
"2456","11.610275000","192.168.0.1","239.255.255.250","SSDP","312","NOTIFY * HTTP/1.1  "
"2457","11.610299000","192.168.0.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1  "
"2458","11.610307000","192.168.0.1","239.255.255.250","SSDP","377","NOTIFY * HTTP/1.1  "
"2476","11.705301000","10.10.12.155","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"2486","11.730130000","10.10.12.182","239.255.255.250","SSDP","528","NOTIFY * HTTP/1.1 "
"2487","11.730164000","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","557","NOTIFY * HTTP/1.1 "
"2491","11.777817000","192.168.0.1","239.255.255.250","SSDP","307","NOTIFY * HTTP/1.1  "
"2492","11.777849000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"2493","11.777856000","192.168.0.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"2494","11.777861000","192.168.0.1","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1  "
"2495","11.779385000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"2496","11.779416000","192.168.0.1","239.255.255.250","SSDP","355","NOTIFY * HTTP/1.1  "
"2497","11.779422000","192.168.0.1","239.255.255.250","SSDP","387","NOTIFY * HTTP/1.1  "
"2498","11.779427000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"2499","11.780228000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"2500","11.780259000","192.168.0.1","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1  "
"2503","11.781333000","192.168.0.1","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1  "
"2504","11.781363000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"2506","11.782819000","192.168.0.1","239.255.255.250","SSDP","303","NOTIFY * HTTP/1.1  "
"2507","11.782849000","192.168.0.1","239.255.255.250","SSDP","312","NOTIFY * HTTP/1.1  "
"2508","11.782856000","192.168.0.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1  "
"2509","11.782861000","192.168.0.1","239.255.255.250","SSDP","377","NOTIFY * HTTP/1.1  "
"2533","11.924708000","10.10.11.176","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2538","11.973685000","10.10.15.98","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2551","12.047046000","10.10.10.46","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"2588","12.265978000","10.10.10.169","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"2593","12.305293000","10.10.10.49","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2637","12.419209000","10.10.11.242","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"2640","12.423754000","10.10.10.171","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2660","12.578435000","10.10.16.10","239.255.255.250","SSDP","306","NOTIFY * HTTP/1.1 "
"2661","12.578467000","10.10.13.84","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2670","12.682223000","10.10.16.10","239.255.255.250","SSDP","315","NOTIFY * HTTP/1.1 "
"2673","12.702407000","10.10.12.155","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"2685","12.744908000","10.10.12.226","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"2694","12.786041000","10.10.16.10","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"2712","12.890415000","10.10.16.10","239.255.255.250","SSDP","370","NOTIFY * HTTP/1.1 "
"2713","12.892494000","10.10.19.150","239.255.255.250","SSDP","308","NOTIFY * HTTP/1.1  "
"2714","12.892525000","10.10.19.150","239.255.255.250","SSDP","317","NOTIFY * HTTP/1.1  "
"2715","12.892531000","10.10.19.150","239.255.255.250","SSDP","380","NOTIFY * HTTP/1.1  "
"2716","12.893749000","10.10.19.150","239.255.255.250","SSDP","372","NOTIFY * HTTP/1.1  "
"2717","12.893766000","10.10.19.150","239.255.255.250","SSDP","317","NOTIFY * HTTP/1.1  "
"2718","12.893770000","10.10.19.150","239.255.255.250","SSDP","356","NOTIFY * HTTP/1.1  "
"2719","12.895373000","10.10.19.150","239.255.255.250","SSDP","388","NOTIFY * HTTP/1.1  "
"2720","12.895404000","10.10.19.150","239.255.255.250","SSDP","317","NOTIFY * HTTP/1.1  "
"2721","12.895410000","10.10.19.150","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1  "
"2722","12.896924000","10.10.19.150","239.255.255.250","SSDP","382","NOTIFY * HTTP/1.1  "
"2723","12.896955000","10.10.19.150","239.255.255.250","SSDP","370","NOTIFY * HTTP/1.1  "
"2724","12.896961000","10.10.19.150","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1  "
"2725","12.898251000","10.10.19.150","239.255.255.250","SSDP","304","NOTIFY * HTTP/1.1  "
"2726","12.898281000","10.10.19.150","239.255.255.250","SSDP","313","NOTIFY * HTTP/1.1  "
"2727","12.898287000","10.10.19.150","239.255.255.250","SSDP","368","NOTIFY * HTTP/1.1  "
"2728","12.901122000","10.10.19.150","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1  "
"2731","12.925544000","10.10.11.176","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2738","12.982115000","10.10.15.98","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2743","12.993683000","10.10.16.10","239.255.255.250","SSDP","315","NOTIFY * HTTP/1.1 "
"2764","13.097500000","10.10.16.10","239.255.255.250","SSDP","354","NOTIFY * HTTP/1.1 "
"2782","13.202298000","10.10.16.10","239.255.255.250","SSDP","386","NOTIFY * HTTP/1.1 "
"2791","13.305172000","10.10.16.10","239.255.255.250","SSDP","315","NOTIFY * HTTP/1.1 "
"2796","13.324271000","10.10.15.47","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"2801","13.384258000","10.10.10.178","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"2802","13.410257000","10.10.16.10","239.255.255.250","SSDP","374","NOTIFY * HTTP/1.1 "
"2807","13.438792000","10.10.10.171","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2813","13.489674000","10.10.10.153","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2820","13.513234000","10.10.16.10","239.255.255.250","SSDP","368","NOTIFY * HTTP/1.1 "
"2835","13.618406000","10.10.16.10","239.255.255.250","SSDP","315","NOTIFY * HTTP/1.1 "
"2836","13.620164000","10.10.14.191","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"2855","13.703957000","10.10.12.155","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"2862","13.722148000","10.10.16.10","239.255.255.250","SSDP","370","NOTIFY * HTTP/1.1 "
"2890","13.806879000","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"2894","13.825494000","10.10.16.10","239.255.255.250","SSDP","380","NOTIFY * HTTP/1.1 "
"2941","13.997181000","10.10.15.98","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"2972","14.176733000","10.10.19.200","239.255.255.250","SSDP","318","NOTIFY * HTTP/1.1 "
"2980","14.226182000","10.10.14.227","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"2998","14.279337000","10.10.19.200","239.255.255.250","SSDP","327","NOTIFY * HTTP/1.1 "
"3020","14.383162000","10.10.19.200","239.255.255.250","SSDP","390","NOTIFY * HTTP/1.1 "
"3037","14.454397000","10.10.10.171","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3047","14.488452000","10.10.19.200","239.255.255.250","SSDP","382","NOTIFY * HTTP/1.1 "
"3050","14.502345000","10.10.10.153","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3077","14.591329000","10.10.19.200","239.255.255.250","SSDP","327","NOTIFY * HTTP/1.1 "
"3103","14.695461000","10.10.19.200","239.255.255.250","SSDP","366","NOTIFY * HTTP/1.1 "
"3107","14.706278000","10.10.12.155","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"3121","14.773656000","192.168.0.1","239.255.255.250","SSDP","307","NOTIFY * HTTP/1.1  "
"3122","14.773691000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"3123","14.773698000","192.168.0.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"3124","14.773704000","192.168.0.1","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1  "
"3125","14.775242000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"3126","14.775265000","192.168.0.1","239.255.255.250","SSDP","355","NOTIFY * HTTP/1.1  "
"3127","14.775271000","192.168.0.1","239.255.255.250","SSDP","387","NOTIFY * HTTP/1.1  "
"3128","14.775277000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"3129","14.776789000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"3130","14.776812000","192.168.0.1","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1  "
"3131","14.776818000","192.168.0.1","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1  "
"3132","14.776824000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"3133","14.778366000","192.168.0.1","239.255.255.250","SSDP","303","NOTIFY * HTTP/1.1  "
"3134","14.778388000","192.168.0.1","239.255.255.250","SSDP","312","NOTIFY * HTTP/1.1  "
"3135","14.778394000","192.168.0.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1  "
"3136","14.778400000","192.168.0.1","239.255.255.250","SSDP","377","NOTIFY * HTTP/1.1  "
"3140","14.800404000","10.10.19.200","239.255.255.250","SSDP","398","NOTIFY * HTTP/1.1 "
"3172","14.903330000","10.10.19.200","239.255.255.250","SSDP","327","NOTIFY * HTTP/1.1 "
"3197","15.007860000","10.10.19.200","239.255.255.250","SSDP","386","NOTIFY * HTTP/1.1 "
"3199","15.011155000","10.10.15.98","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3208","15.046584000","10.10.10.46","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"3228","15.093510000","10.10.15.73","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"3232","15.111346000","10.10.19.200","239.255.255.250","SSDP","380","NOTIFY * HTTP/1.1 "
"3255","15.216082000","10.10.19.200","239.255.255.250","SSDP","327","NOTIFY * HTTP/1.1 "
"3279","15.276707000","10.10.10.169","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"3288","15.300220000","fe80::2943:9058:ee7d:df39","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"3292","15.320069000","10.10.19.200","239.255.255.250","SSDP","382","NOTIFY * HTTP/1.1 "
"3305","15.360885000","10.10.15.55","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3322","15.424329000","10.10.19.200","239.255.255.250","SSDP","392","NOTIFY * HTTP/1.1 "
"3324","15.430856000","10.10.11.242","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"3343","15.501845000","10.10.10.153","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3367","15.585800000","192.168.31.51","239.255.255.250","SSDP","362","NOTIFY * HTTP/1.1 "
"3394","15.709209000","10.10.12.160","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3423","15.747260000","10.10.12.226","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"3426","15.750284000","10.10.12.247","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3484","15.845826000","10.10.13.45","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3487","15.850714000","10.10.13.71","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3523","15.888293000","10.10.19.150","239.255.255.250","SSDP","308","NOTIFY * HTTP/1.1  "
"3524","15.888307000","10.10.19.150","239.255.255.250","SSDP","317","NOTIFY * HTTP/1.1  "
"3525","15.888311000","10.10.19.150","239.255.255.250","SSDP","380","NOTIFY * HTTP/1.1  "
"3526","15.889115000","10.10.19.150","239.255.255.250","SSDP","372","NOTIFY * HTTP/1.1  "
"3528","15.890633000","10.10.19.150","239.255.255.250","SSDP","317","NOTIFY * HTTP/1.1  "
"3529","15.890655000","10.10.19.150","239.255.255.250","SSDP","356","NOTIFY * HTTP/1.1  "
"3531","15.892750000","10.10.19.150","239.255.255.250","SSDP","388","NOTIFY * HTTP/1.1  "
"3532","15.892763000","10.10.19.150","239.255.255.250","SSDP","317","NOTIFY * HTTP/1.1  "
"3533","15.892766000","10.10.19.150","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1  "
"3534","15.894060000","10.10.19.150","239.255.255.250","SSDP","382","NOTIFY * HTTP/1.1  "
"3535","15.894072000","10.10.19.150","239.255.255.250","SSDP","370","NOTIFY * HTTP/1.1  "
"3536","15.894076000","10.10.19.150","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1  "
"3537","15.895371000","10.10.19.150","239.255.255.250","SSDP","304","NOTIFY * HTTP/1.1  "
"3538","15.895383000","10.10.19.150","239.255.255.250","SSDP","313","NOTIFY * HTTP/1.1  "
"3539","15.895387000","10.10.19.150","239.255.255.250","SSDP","368","NOTIFY * HTTP/1.1  "
"3541","15.896675000","10.10.19.150","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1  "
"3562","15.978945000","10.10.14.118","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3644","16.222770000","10.10.10.153","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3698","16.333701000","10.10.15.47","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"3704","16.347612000","10.10.11.208","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3724","16.371413000","10.10.15.55","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3728","16.384053000","10.10.10.178","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"3737","16.426754000","192.168.1.1","239.255.255.250","SSDP","306","NOTIFY * HTTP/1.1 "
"3757","16.516733000","10.10.10.153","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3760","16.529527000","192.168.1.1","239.255.255.250","SSDP","315","NOTIFY * HTTP/1.1 "
"3782","16.616310000","10.10.14.191","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3786","16.634420000","192.168.1.1","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"3827","16.737931000","192.168.1.1","239.255.255.250","SSDP","370","NOTIFY * HTTP/1.1 "
"3850","16.819478000","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"3856","16.841494000","192.168.1.1","239.255.255.250","SSDP","315","NOTIFY * HTTP/1.1 "
"3870","16.893159000","10.10.11.247","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"3884","16.946375000","192.168.1.1","239.255.255.250","SSDP","354","NOTIFY * HTTP/1.1 "
"3914","17.050432000","192.168.1.1","239.255.255.250","SSDP","386","NOTIFY * HTTP/1.1 "
"3938","17.154321000","192.168.1.1","239.255.255.250","SSDP","315","NOTIFY * HTTP/1.1 "
"3954","17.217552000","10.10.14.227","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"3968","17.258262000","192.168.1.1","239.255.255.250","SSDP","374","NOTIFY * HTTP/1.1 "
"3991","17.362651000","192.168.1.1","239.255.255.250","SSDP","368","NOTIFY * HTTP/1.1 "
"3995","17.385234000","10.10.15.55","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4056","17.465911000","192.168.1.1","239.255.255.250","SSDP","315","NOTIFY * HTTP/1.1 "
"4080","17.522306000","10.10.12.19","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"4095","17.570515000","192.168.1.1","239.255.255.250","SSDP","370","NOTIFY * HTTP/1.1 "
"4119","17.674609000","192.168.1.1","239.255.255.250","SSDP","380","NOTIFY * HTTP/1.1 "
"4136","17.732485000","192.168.28.35","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"4162","17.852289000","192.168.28.35","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"4163","17.861013000","10.10.12.19","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"4169","17.893492000","10.10.11.247","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4191","18.072270000","10.10.10.46","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4194","18.095111000","10.10.15.73","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4230","18.157221000","10.10.12.19","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"4265","18.300890000","fe80::2943:9058:ee7d:df39","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"4266","18.300926000","10.10.10.169","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4285","18.400351000","10.10.15.55","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4379","18.716064000","10.10.12.160","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4389","18.747624000","10.10.12.226","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"4393","18.759066000","10.10.12.247","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4400","18.787447000","10.10.14.178","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4413","18.851305000","10.10.13.71","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4416","18.856115000","10.10.13.45","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4430","18.893845000","10.10.11.247","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4451","18.978813000","10.10.14.118","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4492","19.187991000","192.168.50.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"4493","19.188024000","192.168.50.1","239.255.255.250","SSDP","321","NOTIFY * HTTP/1.1 "
"4494","19.188035000","192.168.50.1","239.255.255.250","SSDP","312","NOTIFY * HTTP/1.1 "
"4495","19.189566000","192.168.50.1","239.255.255.250","SSDP","386","NOTIFY * HTTP/1.1 "
"4496","19.189596000","192.168.50.1","239.255.255.250","SSDP","396","NOTIFY * HTTP/1.1 "
"4497","19.189603000","192.168.50.1","239.255.255.250","SSDP","333","NOTIFY * HTTP/1.1 "
"4498","19.190848000","192.168.50.1","239.255.255.250","SSDP","324","NOTIFY * HTTP/1.1 "
"4499","19.190879000","192.168.50.1","239.255.255.250","SSDP","388","NOTIFY * HTTP/1.1 "
"4500","19.190886000","192.168.50.1","239.255.255.250","SSDP","372","NOTIFY * HTTP/1.1 "
"4501","19.192445000","192.168.50.1","239.255.255.250","SSDP","333","NOTIFY * HTTP/1.1 "
"4502","19.192476000","192.168.50.1","239.255.255.250","SSDP","404","NOTIFY * HTTP/1.1 "
"4503","19.192482000","192.168.50.1","239.255.255.250","SSDP","392","NOTIFY * HTTP/1.1 "
"4504","19.193725000","192.168.50.1","239.255.255.250","SSDP","333","NOTIFY * HTTP/1.1 "
"4505","19.193748000","192.168.50.1","239.255.255.250","SSDP","386","NOTIFY * HTTP/1.1 "
"4506","19.193755000","192.168.50.1","239.255.255.250","SSDP","372","NOTIFY * HTTP/1.1 "
"4507","19.195845000","192.168.50.1","239.255.255.250","SSDP","333","NOTIFY * HTTP/1.1 "
"4508","19.195875000","192.168.50.1","239.255.255.250","SSDP","402","NOTIFY * HTTP/1.1 "
"4516","19.236433000","10.10.10.153","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4551","19.361532000","10.10.11.208","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4554","19.367296000","10.10.10.35","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4584","19.457219000","10.10.11.243","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4626","19.628622000","10.10.14.191","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4691","19.893476000","10.10.11.247","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4725","20.114441000","10.10.15.11","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4726","20.121581000","10.10.15.242","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4740","20.228665000","10.10.14.227","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4838","20.803087000","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"4885","21.066039000","10.10.10.46","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4891","21.106148000","10.10.15.73","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4893","21.137868000","10.10.15.242","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4895","21.141248000","10.10.12.224","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"4903","21.156415000","10.10.11.233","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4976","21.298489000","10.10.10.169","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"4977","21.300849000","fe80::2943:9058:ee7d:df39","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"5071","21.731633000","10.10.12.160","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5076","21.774554000","10.10.12.247","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5081","21.789304000","10.10.14.178","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"5089","21.866287000","10.10.13.71","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5092","21.871582000","10.10.13.45","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5101","21.985889000","10.10.14.118","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5122","22.138455000","10.10.15.242","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"5123","22.152614000","10.10.12.224","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"5136","22.252001000","10.10.10.153","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5165","22.368118000","10.10.10.35","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5167","22.377029000","10.10.11.208","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5182","22.454894000","10.10.11.243","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"5219","22.639435000","10.10.14.191","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5254","22.777542000","192.168.0.1","239.255.255.250","SSDP","307","NOTIFY * HTTP/1.1  "
"5255","22.777578000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"5256","22.778869000","192.168.0.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"5257","22.778889000","192.168.0.1","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1  "
"5258","22.778895000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"5259","22.780253000","192.168.0.1","239.255.255.250","SSDP","355","NOTIFY * HTTP/1.1  "
"5260","22.780279000","192.168.0.1","239.255.255.250","SSDP","387","NOTIFY * HTTP/1.1  "
"5262","22.782013000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"5263","22.782035000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"5264","22.783322000","192.168.0.1","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1  "
"5265","22.783340000","192.168.0.1","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1  "
"5266","22.783345000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"5267","22.784895000","192.168.0.1","239.255.255.250","SSDP","303","NOTIFY * HTTP/1.1  "
"5268","22.784912000","192.168.0.1","239.255.255.250","SSDP","312","NOTIFY * HTTP/1.1  "
"5269","22.786207000","192.168.0.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1  "
"5270","22.786226000","192.168.0.1","239.255.255.250","SSDP","377","NOTIFY * HTTP/1.1  "
"5300","23.114184000","10.10.15.11","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"5303","23.140682000","10.10.15.242","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"5305","23.153257000","10.10.12.224","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"5314","23.223450000","10.10.11.206","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"5316","23.242132000","10.10.14.227","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"5363","23.584450000","10.10.12.226","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5372","23.673613000","10.10.16.235","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"5392","23.804653000","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"5465","24.065769000","10.10.10.46","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"5479","24.125291000","10.10.15.73","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
